GeneSymbol	n	Tissues
443	SLIT2	3	2
444	TCTN1	3	2
445	TUBGCP4	3	2
446	ZNF385A	3	3
447	ZNF540	3	2
448	ADH4	3	1
449	CDK5RAP2	3	2
450	COBL	3	1
451	HP	3	1
452	KRT15	3	1
453	PAPLN	3	1
454	PATJ	3	1
455	PCBP3	3	2
456	SLC2A11	3	1
457	ACSF2	3	1
458	ATP6V1B1	3	1
459	CCDC120	3	1
460	CCDC163P	3	1
461	CD79A	3	1
462	ELF3	3	1
463	FAT1	3	2
464	GRHL1	3	1
465	KLRK1	3	1
466	LMO3	3	1
467	MED16	3	2
468	MIA	3	1
469	NEBL	3	2
470	RGS4	3	1
471	RSPO1	3	1
472	SLC44A3	3	2
473	SMARCC2	3	2
474	WNT10B	3	1
475	ADAM28	3	1
476	ATP2A3	3	2
477	CEACAM1	3	1
478	CHEK2	3	1
479	CYTIP	3	1
480	DERL2	3	1
481	DPP9	3	2
482	EPB41L1	3	1
483	KLK6	3	1
484	ABCA10	3	1
485	CACNA1G	3	2
486	CDCA7	3	1
487	CELSR2	3	1
488	CRACR2B	3	1
489	EPS8L1	3	1
490	GOLGA2P5	3	1
491	HSD17B2	3	2
492	SEPT1	3	1
493	SH2D3A	3	1
494	TBC1D10C	3	2
495	TFAP2A	3	1
496	WDR97	3	1
497	WFDC2	3	1
498	ACP6	3	2
499	ADORA1	3	2
500	APH1A	3	2
501	ATM	3	2
502	BAZ2B	3	2
503	BIRC6	3	2
504	CA2	3	2
505	CCND3	3	1
506	CCSER2	3	2
507	CD36	3	2
508	CDCA7L	3	2
509	CDH11	3	2
510	CDH3	3	1
511	CLSTN1	3	2
512	CYP39A1	3	2
513	EDN2	3	1
514	EVA1A	3	1
515	FAM126A	3	2
516	FBXO16	3	1
517	FHL2	3	2
518	FLNB	3	1
519	GLDN	3	2
520	HHAT	3	1
521	HMGCS2	3	2
522	IFFO2	3	2
523	IRX3	3	3
524	KIF13A	3	2
525	KLRC4-KLRK1	3	1
526	LGR6	3	1
527	LRRC61	3	2
528	LY9	3	1
529	MAATS1	3	1
530	MAP4K1	3	1
531	MEI1	3	1
532	MIR205HG	3	1
533	NECAB2	3	2
534	PARD3	3	2
535	PDPN	3	2
536	PIK3R1	3	2
537	PIP5KL1	3	1
538	PLEK2	3	1
539	PPFIA3	3	1
540	PTGS1	3	2
541	PTK2	3	2
542	PTPN6	3	2
543	PTPRK	3	2
544	RAD18	3	1
545	RBM47	3	1
546	SELP	3	2
547	SEPT9	3	1
548	SFI1	3	1
549	SH3BGR	3	2
550	SH3YL1	3	1
551	SLC44A4	3	2
552	SPATA18	3	1
553	TARS2	3	2
554	TBC1D23	3	2
555	TBC1D26	3	2
556	TCF4	3	1
557	TES	3	2
558	TMC5	3	1
559	TMEM120A	3	2
560	TMEM139	3	1
561	TNFRSF11A	3	1
562	TOM1L1	3	1
563	ZNF506	3	2
564	LGALSL	3	2
565	ACAD11	3	2
566	HDC	3	1
567	ALDH6A1	3	1
568	C16orf62	3	1
569	CEP192	3	1
570	DNAJA4	3	1
571	DOCK5	3	1
572	GOLGA4	3	1
573	KPNA6	3	1
574	MET	3	1
575	PHF21A	3	1
576	PLA2G15	3	1
577	RAD54L2	3	1
578	RRM1	3	1
579	SEH1L	3	1
580	WDR47	3	1
581	APEX1	3	1
582	ATP7B	3	1
583	CD274	3	1
584	CHD9	3	1
585	CUL4A	3	1
586	DHDDS	3	1
587	EIF3K	3	1
588	FAM53C	3	1
589	FAM58A	3	1
590	GCFC2	3	1
591	HSP90AA1	3	1
592	IREB2	3	1
593	ITGB1	3	1
594	IWS1	3	1
595	KIAA0196	3	1
596	L3MBTL2	3	1
597	MTIF2	3	1
598	MTR	3	1
599	OGFOD1	3	1
600	POLR1B	3	1
601	PUM1	3	1
602	RAB7A	3	1
603	RAD50	3	1
604	SLC11A2	3	1
605	SLC41A3	3	1
606	SMPD1	3	1
607	SUCO	3	1
608	TFRC	3	1
609	TMEM161B	3	1
610	WIPF2	3	1
611	YIF1B	3	1
612	GTF2H3	3	1
613	MBOAT2	3	1
614	TNC	3	1
615	ANKRD28	3	1
616	APBB1	3	1
617	QSER1	3	1
618	SEC23A	3	1
619	AASDH	3	1
620	ABHD16A	3	1
621	ACADM	3	1
622	ACOT9	3	1
623	ACOX1	3	1
624	ACTR3	3	1
625	ADCY9	3	1
626	ADHFE1	3	1
627	ANK2	3	1
628	API5	3	1
629	AREL1	3	1
630	ARHGAP5	3	1
631	ARPC2	3	1
632	BCL2L13	3	1
633	BFAR	3	1
