num.nmd	num.transcripts	nmd.ids
1027	0	0	
1028	0	3	
1029	0	1	
1030	0	3	
1031	0	1	
1032	0	0	
1033	0	0	
1034	0	1	
1035	5	5	***************
1036	2	11	******
1037	2	10	******
1038	0	9	
1039	6	6	******************
1040	2	12	******
1041	5	5	***************
1042	2	2	******
1043	0	1	
1044	2	2	******
1045	0	0	
1046	0	3	
1047	0	0	
1048	0	1	
1049	0	1	
1050	0	3	
1051	0	1	
1052	0	0	
1053	0	2	
1054	0	0	
1055	0	0	
1056	0	0	
1057	0	0	
1058	0	0	
1059	0	0	
1060	1	1	***
1061	0	5	
1062	1	1	***
1063	0	0	
1064	0	3	
1065	3	3	*********
1066	0	0	
1067	2	5	******
1068	0	0	
1069	0	0	
1070	0	0	
1071	0	0	
1072	0	0	
1073	0	0	
1074	0	0	
1075	0	1	
1076	0	0	
1077	0	0	
1078	0	0	
1079	0	0	
1080	0	0	
1081	0	0	
1082	0	0	
1083	0	0	
1084	0	0	
1085	0	0	
1086	0	0	
1087	0	0	
1088	0	0	
1089	0	0	
1090	0	0	
1091	0	0	
1092	0	0	
1093	0	0	
1094	0	0	
1095	0	0	
1096	0	0	
1097	0	0	
1098	0	0	
1099	0	0	
1100	0	0	
1101	0	0	
1102	0	0	
1103	0	0	
1104	0	0	
1105	0	0	
1106	0	0	
1107	0	0	
1108	0	0	
1109	0	0	
1110	0	0	
1111	0	0	
1112	0	0	
1113	0	0	
1114	0	0	
1115	0	0	
1116	0	4	
1117	0	0	
1118	0	9	
1119	0	1	
1120	0	7	
1121	0	0	
1122	0	0	
1123	0	4	
1124	0	4	
1125	0	0	
1126	0	0	
1127	0	0	
1128	0	6	
1129	0	0	
1130	0	0	
1131	0	4	
1132	0	5	
1133	0	7	
1134	0	4	
1135	0	1	
1136	1	1	***
1137	0	0	
1138	0	0	
1139	0	0	
1140	0	1	
1141	0	5	
1142	0	1	
1143	0	1	
1144	0	1	
1145	2	5	******
1146	2	4	******
1147	0	2	
1148	1	5	***
1149	0	1	
1150	0	2	
1151	0	1	
1152	0	1	
1153	0	0	
1154	0	1	
1155	0	1	
1156	0	1	
1157	0	0	
1158	0	1	
1159	0	0	
1160	0	9	
1161	1	1	***
1162	0	8	
1163	3	3	*********
1164	1	1	***
1165	1	1	***
1166	0	0	
1167	1	1	***
1168	0	5	
1169	0	0	
1170	0	5	
1171	0	0	
1172	1	1	***
1173	1	1	***
1174	0	0	
1175	1	1	***
1176	1	1	***
1177	0	3	
1178	1	1	***
1179	1	1	***
1180	1	26	***
1181	1	6	***
1182	0	0	
1183	0	0	
1184	1	6	***
1185	1	1	***
1186	0	0	
1187	1	1	***
1188	0	0	
1189	0	0	
1190	0	0	
1191	0	3	
1192	0	2	
1193	0	1	
1194	0	2	
1195	1	1	***
1196	1	1	***
1197	0	1	
1198	0	3	
1199	0	0	
1200	0	1	
1201	0	3	
1202	0	0	
1203	0	3	
1204	0	3	
1205	0	2	
1206	0	2	
1207	0	1	
1208	0	1	
1209	0	3	
1210	0	2	
1211	0	0	
1212	0	1	
1213	0	2	
1214	0	0	
1215	0	0	
1216	1	1	***
1217	1	1	***
1218	0	3	
1219	0	0	
1220	0	3	
1221	0	3	
1222	0	5	
1223	0	0	
1224	0	0	
1225	0	1	
1226	0	1	
1227	0	4	
1228	0	1	
1229	1	4	***
1230	0	0	
1231	0	1	
1232	0	0	
1233	0	1	
1234	0	0	
1235	0	0	
1236	1	1	***
1237	0	0	
1238	0	0	
1239	1	4	***
1240	1	1	***
1241	1	1	***
1242	0	0	
1243	0	0	
1244	0	0	
1245	1	1	***
1246	0	1	
1247	0	0	
1248	0	0	
1249	0	1	
1250	1	3	***
1251	0	4	
1252	0	1	
1253	0	1	
1254	0	4	
1255	0	3	
1256	0	1	
1257	0	4	
1258	1	1	***
1259	0	1	
1260	1	1	***
1261	1	1	***
1262	0	5	
1263	0	0	
1264	0	4	
1265	0	5	
1266	0	1	
1267	0	4	
1268	0	5	
1269	0	0	
1270	0	2	
1271	0	1	
1272	1	1	***
1273	0	0	
1274	0	4	
1275	0	0	
1276	0	0	
1277	0	0	
1278	0	1	
1279	0	4	
1280	1	1	***
1281	0	1	
1282	0	0	
1283	0	7	
1284	1	1	***
1285	0	0	
1286	0	1	
1287	0	0	
1288	0	1	
1289	0	1	
1290	1	1	***
1291	0	0	
1292	0	0	
1293	1	1	***
1294	1	1	***
1295	1	1	***
1296	0	0	
1297	0	0	
1298	0	1	
1299	1	4	***
1300	0	1	
1301	0	1	
1302	1	5	***
1303	0	0	
1304	0	1	
1305	1	1	***
1306	0	0	
1307	1	1	***
1308	0	0	
1309	0	1	
1310	0	1	
1311	0	1	
1312	0	0	
1313	0	0	
1314	1	1	***
1315	0	0	
1316	0	0	
1317	0	0	
1318	0	0	
1319	0	0	
1320	0	0	
1321	1	1	***
1322	0	0	
1323	0	1	
1324	0	0	
1325	1	1	***
1326	0	4	
1327	0	3	
1328	0	0	
1329	0	0	
1330	0	0	
1331	0	0	
1332	0	2	
1333	0	0	
1334	0	0	
1335	0	1	
1336	1	1	***
1337	0	0	
1338	2	2	******
1339	0	1	
1340	0	0	
1341	1	1	***
1342	1	3	***
1343	2	2	******
1344	1	1	***
1345	0	1	
1346	0	0	
1347	0	0	
1348	0	2	
1349	1	1	***
1350	0	0	
1351	0	0	
1352	0	3	
1353	1	1	***
1354	0	1	
1355	1	1	***
1356	0	3	
1357	0	1	
1358	2	4	******
1359	2	5	******
1360	0	0	
1361	0	3	
1362	1	1	***
1363	0	4	
1364	0	5	
1365	2	4	******
1366	0	3	
1367	0	1	
1368	0	0	
1369	0	1	
1370	0	0	
1371	0	0	
1372	0	4	
1373	0	6	
1374	0	4	
1375	1	5	***
1376	0	1	
1377	0	1	
1378	1	1	***
1379	0	1	
1380	0	0	
1381	1	1	***
1382	0	0	
1383	1	1	***
1384	0	1	
1385	0	14	
1386	1	1	***
1387	0	1	
1388	1	1	***
1389	1	1	***
1390	0	2	
1391	0	1	
1392	0	0	
1393	0	1	
1394	0	2	
1395	0	0	
1396	0	0	
1397	0	0	
1398	1	1	***
1399	0	4	
1400	0	0	
1401	0	1	
1402	0	1	
1403	0	0	
1404	0	0	
1405	0	1	
1406	0	1	
1407	0	0	
1408	0	4	
1409	0	1	
1410	0	0	
1411	0	0	
1412	3	3	*********
1413	0	0	
1414	0	0	
1415	3	3	*********
1416	0	2	
1417	1	1	***
1418	1	1	***
1419	1	1	***
1420	1	1	***
1421	1	2	***
1422	0	1	
1423	1	4	***
1424	0	1	
1425	0	0	
1426	0	0	
1427	0	3	
1428	0	1	
1429	0	3	
1430	0	1	
1431	0	3	
1432	0	1	
1433	1	1	***
1434	0	1	
1435	0	0	
1436	1	1	***
1437	1	1	***
1438	0	0	
1439	0	1	
1440	0	1	
1441	1	1	***
1442	1	1	***
1443	0	0	
1444	0	1	
1445	0	1	
1446	0	1	
1447	0	0	
1448	1	1	***
1449	0	0	
1450	0	1	
1451	0	1	
1452	0	2	
1453	0	0	
1454	0	0	
1455	0	2	
1456	0	3	
1457	1	3	***
1458	1	1	***
1459	0	0	
1460	0	1	
1461	0	0	
1462	0	0	
1463	0	0	
1464	0	1	
1465	0	1	
1466	0	1	
1467	0	2	
1468	0	3	
1469	0	1	
1470	0	12	
1471	2	4	******
1472	1	1	***
1473	0	0	
1474	1	1	***
1475	0	0	
1476	1	1	***
1477	0	0	
1478	1	1	***
1479	0	2	
1480	0	0	
1481	0	4	
1482	0	0	
1483	0	1	
1484	0	3	
1485	0	0	
1486	0	0	
1487	0	0	
1488	0	0	
1489	0	0	
1490	0	0	
1491	0	0	
1492	0	2	
1493	0	2	
1494	0	2	
1495	0	1	
1496	0	4	
1497	0	3	
1498	0	1	
1499	0	1	
1500	1	1	***
1501	1	1	***
1502	0	0	
1503	0	0	
1504	0	0	
1505	1	1	***
1506	0	0	
1507	0	0	
1508	0	0	
1509	0	2	
1510	1	1	***
1511	0	3	
1512	0	0	
1513	1	2	***
1514	0	4	
1515	0	0	
1516	0	0	
1517	0	0	
1518	1	1	***
1519	0	0	
1520	0	1	
1521	0	0	
1522	0	1	
1523	0	0	
1524	0	0	
1525	0	3	
1526	2	2	******
1527	0	0	
1528	0	1	
1529	1	6	***
1530	0	7	
1531	0	0	
1532	0	0	
1533	0	0	
1534	0	4	
1535	0	4	
1536	0	0	
1537	0	0	
1538	0	0	
1539	0	0	
1540	0	0	
1541	1	1	***
1542	0	1	
1543	1	1	***
1544	0	0	
1545	0	0	
1546	1	1	***
1547	0	1	
1548	0	1	
1549	0	1	
1550	1	4	***
1551	1	5	***
1552	0	0	
1553	0	8	
1554	0	7	
1555	0	8	
1556	1	1	***
1557	1	6	***
1558	2	5	******
1559	0	9	
1560	0	5	
1561	0	0	
1562	1	11	***
1563	0	7	
1564	1	1	***
1565	0	1	
1566	1	1	***
1567	3	5	*********
1568	1	3	***
1569	0	4	
1570	4	6	************
1571	3	3	*********
1572	1	1	***
1573	0	1	
1574	0	0	
1575	1	1	***
1576	0	7	
1577	0	0	
1578	0	1	
1579	0	0	
1580	0	5	
1581	0	0	
1582	0	0	
1583	0	1	
1584	0	7	
1585	2	2	******
1586	0	0	
1587	0	2	
1588	0	1	
1589	1	1	***
1590	0	0	
1591	0	0	
1592	0	0	
1593	0	0	
1594	0	0	
1595	0	1	
1596	0	1	
1597	0	3	
1598	0	3	
1599	0	2	
1600	0	5	
1601	1	1	***
1602	0	8	
1603	0	4	
1604	0	11	
1605	0	0	
1606	0	1	
1607	1	8	***
1608	0	1	
1609	0	3	
1610	0	0	
1611	0	0	
1612	0	1	
1613	0	5	
1614	0	0	
1615	0	0	
1616	0	1	
1617	1	1	***
1618	0	0	
1619	0	0	
